,DxK,DxKP,ExK,ExKP,IK,IKxD,IKxE,IKxEP,KL,KP,KxD,KxE,KxEP,KxG,KxN,KxP,KxQ,KxS,LKxD,LKxE,LKxEP,MKxE,PKxE,TKxE,VK,VKxE
regulation of chromosome organization,46,16,58,10,41,8,16,NA,45,54,34,90,11,18,17,21,19,26,7,25,2,6,7,10,44,20
regulation of intracellular steroid hormone receptor signaling pathway,10,2,13,6,13,2,7,1,8,9,7,18,6,6,4,5,2,6,2,3,NA,NA,4,3,12,8
regulation of mitotic cell cycle phase transition,43,12,32,6,33,6,13,1,27,38,26,76,11,16,10,13,14,23,5,20,2,4,NA,13,32,12
regulation of mRNA metabolic process,41,8,49,8,30,6,12,4,32,29,28,70,14,32,15,19,16,33,7,19,3,3,8,2,40,14
regulation of ossification,8,6,2,1,2,NA,1,NA,1,7,1,5,1,3,2,4,2,4,1,NA,NA,1,NA,1,3,1
regulation of response to DNA damage stimulus,58,8,57,10,58,11,26,4,49,49,33,111,22,28,19,31,20,39,5,21,2,6,16,11,45,20
regulation of stem cell differentiation,7,NA,14,2,13,NA,8,1,10,12,9,22,3,8,8,9,3,7,NA,5,1,1,3,3,15,6
regulation of viral genome replication,9,2,10,5,7,NA,5,1,7,8,4,18,4,7,3,4,4,6,1,2,1,5,1,3,11,6
regulation of viral process,12,2,12,5,11,NA,9,1,9,9,5,26,5,10,4,7,6,9,2,4,1,6,2,4,15,7
response to radiation,49,15,53,6,45,5,21,2,36,37,23,79,18,17,12,22,15,31,5,14,5,3,9,11,40,17
response to UV,23,9,32,3,26,4,14,2,19,18,13,42,7,11,6,17,7,15,2,3,NA,1,4,6,18,9
rhythmic process,30,9,38,9,32,2,20,7,31,29,17,59,13,19,15,19,19,21,6,15,1,4,9,6,39,15
RNA localization,28,7,28,3,24,6,7,1,25,25,17,53,9,11,7,13,7,14,2,20,3,5,7,3,23,9
viral RNA genome replication,7,1,5,2,5,NA,3,NA,4,6,4,7,2,4,NA,3,3,5,1,NA,NA,1,NA,NA,7,4
